"Manufacturer Name";"Product Code";"Model Number";"Product Name";"Retailer Product Code";"Category";"Product URL";"Image URL";"Stock";"Product Price";"Currency"
"PHILIPS";"8711500631831";"";"Tub fluorescent T8 Philips Master TL-D Super 80 30W, G13, lumina calda";"PS00470";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-super-80-30w-g13-lumina-calda";"http://etbm.ro/\content\images\thumbs\0013325_tub-fluorescent-t8-philips-master-tl-d-super-80-30w-g13-lumina-calda.jpeg";"201";"19.04";"RON"
"PHILIPS";"8711500951113";"";"Tub fluorescent Philips TLD Blacklight Blue 18W, T26, G13";"PS01499";"PH SURSE";"http://etbm.ro/tub-fluorescent-philips-tld-blacklight-blue-18w-t26-g13";"http://etbm.ro/\content\images\thumbs\0013236_tub-fluorescent-philips-tld-blacklight-blue-18w-t26-g13.jpeg";"28";"70.41";"RON"
"PHILIPS";"8711500951151";"";"Tub fluorescent Philips TLD Blacklight Blue 36W, T26, G13";"PS01500";"PH SURSE";"http://etbm.ro/tub-fluorescent-philips-tld-blacklight-blue-36w-t26-g13";"http://etbm.ro/\content\images\thumbs\0013237_tub-fluorescent-philips-tld-blacklight-blue-36w-t26-g13.jpeg";"53";"61.70";"RON"
"PHILIPS";"8711500260840";"";"Bec economic 2 pini Philips MASTER PL-S 2P 9W, G23, 10000 ore, lumina calda";"PS01543";"PH SURSE";"http://etbm.ro/bec-economic-2-pini-philips-master-pl-s-2p-9w-g23-10000-ore-lumina-calda";"http://etbm.ro/\content\images\thumbs\0013130_bec-economic-2-pini-philips-master-pl-s-2p-9w-g23-10000-ore-lumina-calda.jpeg";"53";"13.38";"RON"
"PHILIPS";"8711500615411";"";"Bec economic 4 pini Philips MASTER PL-L 4P 55W, 2G11, 14000 ore, lumina calda";"PS01564";"PH SURSE";"http://etbm.ro/bec-economic-4-pini-philips-master-pl-l-4p-55w-2g11-14000-ore-lumina-calda";"http://etbm.ro/\content\images\thumbs\0013528_bec-economic-4-pini-philips-master-pl-l-4p-55w-2g11-14000-ore-lumina-calda.jpeg";"76";"21.23";"RON"
"PHILIPS";"8711500639646";"";"Tub fluorescent Philips Master TL5 HO 39W, G5, lumina neutra";"PS01569";"PH SURSE";"http://etbm.ro/tub-fluorescent-philips-master-tl5-ho-39w-g5-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013334_tub-fluorescent-philips-master-tl5-ho-39w-g5-lumina-neutra.jpeg";"22";"14.79";"RON"
"PHILIPS";"8711500706256";"";"Tub fluorescent T8 Philips Master TL-D Food 1m 36W 79, G13, lumina neutra";"PS01637";"PH SURSE";"http://etbm.ro/tub-fluorescent-t8-philips-master-tl-d-food-1m-36w-79-g13-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0017882_tub-fluorescent-t8-philips-master-tl-d-food-1m-36w-79-g13-lumina-neutra.jpeg";"19";"48.03";"RON"
"PHILIPS";"8711500639486";"";"Tub fluorescent Philips Master TL5 HE 28W, G5, lumina neutra";"PS01687";"PH SURSE";"http://etbm.ro/tub-fluorescent-philips-master-tl5-he-28w-g5-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013324_tub-fluorescent-philips-master-tl5-he-28w-g5-lumina-neutra.jpeg";"62";"12.91";"RON"
"PHILIPS";"8711500716866";"";"Tub fluorescent T5 Philips TL Mini Super 80 13W, G5, lumina neutra";"PS01692";"PH SURSE";"http://etbm.ro/tub-fluorescent-t5-philips-tl-mini-super-80-13w-g5-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013307_tub-fluorescent-t5-philips-tl-mini-super-80-13w-g5-lumina-neutra.jpeg";"10";"13.48";"RON"
"PHILIPS";"8711500623300";"";"Bec economic 4 pini Philips Master PL-C 4P 10W, G24Q-1, 8000 ore, lumina neutra";"PS01711";"PH SURSE";"http://etbm.ro/bec-economic-4-pini-philips-master-pl-c-4p-10w-g24q-1-8000-ore-lumina-neutra";"http://etbm.ro/\content\images\thumbs\0013136_bec-economic-4-pini-philips-master-pl-c-4p-10w-g24q-1-8000-ore-lumina-neutra.jpeg";"176";"13.16";"RON"
